"","cellid","coretype","primary","secondary"
"46","A12101430","Core","Astro Aqp4","0"
"47","A12101431","Core","L4 Ctxn3","0"
"48","A12101432","Core","Astro Aqp4","0"
"49","A12101433","Core","Vip Chat","0"
"50","A12101434","Core","Astro Aqp4","0"
"51","A12101435","Transition","L2/3 Ptgs2","L4 Ctxn3"
"52","A12101436","Core","Vip Parm1","0"
"53","A12101437","Core","Astro Aqp4","0"
"54","A12101438","Core","Vip Mybpc1","0"
"55","A12101439","Core","Vip Parm1","0"
"56","A12101440","Core","Vip Parm1","0"
"57","A12101441","Core","Vip Parm1","0"
"58","A12101442","Core","Astro Aqp4","0"
"59","A12101443","Core","Vip Mybpc1","0"
"60","A12101444","Transition","Vip Parm1","Vip Mybpc1"
"61","A12101445","Transition","Endo Myl9","OPC Pdgfra"
"62","A12101446","Core","Vip Chat","0"
"63","A12101447","Core","Vip Chat","0"
"64","A12101448","Core","Ndnf Cxcl14","0"
"65","B06061401","Core","L4 Ctxn3","0"
"66","B06061402","Core","L4 Ctxn3","0"
"67","B06061403","Core","L4 Ctxn3","0"
"68","B06061404","Core","L5 Hsd11b1","0"
"69","B06061405","Core","L4 Scnn1a","0"
"70","B06061406","Core","L5 Hsd11b1","0"
"71","B06061408","Core","L4 Arf5","0"
"72","B06061409","Core","L5a Batf3","0"
"73","B06061410","Core","L5a Batf3","0"
"74","B06061411","Transition","L5 Hsd11b1","L5a Tcerg1l"
"75","B06061412","Core","L4 Ctxn3","0"
"76","B06061413","Core","L4 Ctxn3","0"
"77","B06061414","Core","L4 Arf5","0"
"78","B06061415","Core","L4 Ctxn3","0"
"79","B06061416","Transition","L4 Scnn1a","L4 Ctxn3"
"80","B07161401","Core","L4 Scnn1a","0"
"81","B07161402","Transition","L4 Scnn1a","L4 Ctxn3"
"82","B07161403","Core","L4 Scnn1a","0"
"83","B07161404","Core","L5 Hsd11b1","0"
"84","B07161405","Transition","L4 Scnn1a","L4 Ctxn3"
"85","B07161406","Core","L4 Scnn1a","0"
"86","B07161407","Transition","L4 Scnn1a","L4 Ctxn3"
"87","B07161408","Core","L5 Hsd11b1","0"
"88","B13090617","Core","L4 Ctxn3","0"
"89","B13090618","Transition","L4 Arf5","L4 Scnn1a"
"90","B13090619","Core","L4 Ctxn3","0"
"91","B13090620","Transition","L4 Scnn1a","L4 Ctxn3"
"92","B13090621","Core","L4 Scnn1a","0"
"93","B13090622","Transition","L4 Arf5","L4 Scnn1a"
"94","B13090623","Core","L4 Arf5","0"
"95","B13090624","Core","L4 Arf5","0"
"96","B13121001","Core","L4 Scnn1a","0"
"97","B13121002","Transition","L4 Scnn1a","L4 Ctxn3"
"98","B13121003","Transition","L4 Scnn1a","L4 Arf5"
"99","B13121005","Core","L4 Scnn1a","0"
"100","B13121006","Transition","L4 Scnn1a","L4 Ctxn3"
"101","B13121007","Core","L4 Arf5","0"
"102","B13121008","Core","L4 Scnn1a","0"
"103","B14042525","Core","Astro Aqp4","0"
"104","B14042526","Core","L5 Ucma","0"
"105","B14042527","Core","L5a Batf3","0"
"106","B14042528","Core","L5a Batf3","0"
"107","B14042529","Core","L5a Batf3","0"
"108","B14042530","Core","L5a Tcerg1l","0"
"109","B14042531","Core","L5a Batf3","0"
"110","B14042532","Core","L5a Tcerg1l","0"
"111","B14042533","Core","Astro Aqp4","0"
